id;reviewer_id;sample_id;smell;severity;review_timestamp;type;code_name;repository;commit_hash;path;start_line;end_line;link;is_from_industry_relevant_project
11461;3;6729098;feature envy;major;2019-08-04 23:05:46.313919;function;org.eclipse.wst.xsd.ui.internal.adapters.XSDWildcardAdapter#getImage;git@github.com:eclipse/webtools.sourceediting.git;fe6d03fa6ca31c9e5ebeba67b32f14d14335657d;/xml/bundles/org.eclipse.wst.xsd.ui/src-adt-xsd/org/eclipse/wst/xsd/ui/internal/adapters/XSDWildcardAdapter.java;46;66;https://github.com/eclipse/webtools.sourceediting/blob/fe6d03fa6ca31c9e5ebeba67b32f14d14335657d/xml/bundles/org.eclipse.wst.xsd.ui/src-adt-xsd/org/eclipse/wst/xsd/ui/internal/adapters/XSDWildcardAdapter.java/#L46-L66;1
10057;4;9242897;feature envy;none;2019-07-24 21:49:27.685422;function;javax.swing.text.BoxView#baselineLayout int|int|int[]|int[];git@github.com:SAP/SapMachine.git;6e62561730c46dc5000c39665c43951832192ceb;/src/java.desktop/share/classes/javax/swing/text/BoxView.java;956;996;https://github.com/SAP/SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/src/java.desktop/share/classes/javax/swing/text/BoxView.java/#L956-L996;1
12354;3;9376700;feature envy;none;2019-08-06 13:08:54.717055;function;sun.java2d.loops.OpaqueCopyArgbToAny#Blit SurfaceData|SurfaceData|Composite|Region|int|int|int|int|int|int;git@github.com:SAP/SapMachine.git;6e62561730c46dc5000c39665c43951832192ceb;/src/java.desktop/share/classes/sun/java2d/loops/CustomComponent.java;171;213;https://github.com/SAP/SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/src/java.desktop/share/classes/sun/java2d/loops/CustomComponent.java/#L171-L213;1
12057;3;8636644;feature envy;none;2019-08-06 07:31:36.030578;function;org.apache.ofbiz.entity.model.ModelUtil.shortenDbName String|int;git@github.com:apache/ofbiz-framework.git;b1304439219bb04c396f5d000bec9c5fbb194b59;/framework/entity/src/main/java/org/apache/ofbiz/entity/model/ModelUtil.java;155;248;https://github.com/apache/ofbiz-framework/blob/b1304439219bb04c396f5d000bec9c5fbb194b59/framework/entity/src/main/java/org/apache/ofbiz/entity/model/ModelUtil.java/#L155-L248;1
7778;3;4794965;feature envy;minor;2019-07-13 00:46:41.516346;function;org.apache.shardingsphere.core.execute.sql.execute.result.StreamQueryResult#getValue String|Class<?>;git@github.com:apache/incubator-shardingsphere.git;c5cf1d15b02f3a0fb3bda4f15d5f0b3779eac7ba;/sharding-core/sharding-core-execute/src/main/java/org/apache/shardingsphere/core/execute/sql/execute/result/StreamQueryResult.java;117;162;https://github.com/apache/incubator-shardingsphere/blob/c5cf1d15b02f3a0fb3bda4f15d5f0b3779eac7ba/sharding-core/sharding-core-execute/src/main/java/org/apache/shardingsphere/core/execute/sql/execute/result/StreamQueryResult.java/#L117-L162;1
4059;5;7358328;feature envy;none;2019-04-05 15:16:22.405223;function;com.microsoft.tfs.core.clients.versioncontrol.sparsetree.SparseTreeTests#test20;git@github.com:Microsoft/team-explorer-everywhere.git;89ab2a4847aec8ec2afdf36c3f6287dd03bd558d;/source/com.microsoft.tfs.core/tests/com/microsoft/tfs/core/clients/versioncontrol/sparsetree/SparseTreeTests.java;715;731;https://github.com/Microsoft/team-explorer-everywhere/blob/89ab2a4847aec8ec2afdf36c3f6287dd03bd558d/source/com.microsoft.tfs.core/tests/com/microsoft/tfs/core/clients/versioncontrol/sparsetree/SparseTreeTests.java/#L715-L731;1
3352;16;9053224;feature envy;minor;2019-04-05 12:55:40.914313;function;org.eclipse.jdt.internal.compiler.ast.Argument#createBinding MethodScope|TypeBinding;git@github.com:eclipse/eclipse.jdt.core.git;24d47c292ed4bd8fdc28b3c2f9afdab1401d025c;/org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/Argument.java;67;89;https://github.com/eclipse/eclipse.jdt.core/blob/24d47c292ed4bd8fdc28b3c2f9afdab1401d025c/org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/Argument.java/#L67-L89;0,5
6144;5;3975605;feature envy;none;2019-04-19 13:23:40.499318;function;org.apache.avro.Schema.validateDefault String|Schema|JsonNode;git@github.com:apache/avro.git;1119b6eb5b92730b27e9798793bc67f192591c15;/lang/java/avro/src/main/java/org/apache/avro/Schema.java;1238;1247;https://github.com/apache/avro/blob/1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/avro/src/main/java/org/apache/avro/Schema.java/#L1238-L1247;1
1313;13;7377589;feature envy;none;2019-03-29 13:42:47.358228;function;org.springframework.data.util.MultiValueMapCollector#supplier;git@github.com:spring-projects/spring-data-commons.git;48c9297118e18273a0a3dfe3cf2f9a8ffd8fdca7;/src/main/java/org/springframework/data/util/MultiValueMapCollector.java;50;53;https://github.com/spring-projects/spring-data-commons/blob/48c9297118e18273a0a3dfe3cf2f9a8ffd8fdca7/src/main/java/org/springframework/data/util/MultiValueMapCollector.java/#L50-L53;1
1895;1;3698602;feature envy;none;2019-03-29 14:31:44.077416;function;com.amazon.ask.request.mapper.impl.BaseRequestMapper.Builder#build;git@github.com:alexa/alexa-skills-kit-sdk-for-java.git;bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9;/ask-sdk-runtime/src/com/amazon/ask/request/mapper/impl/BaseRequestMapper.java;79;81;https://github.com/alexa/alexa-skills-kit-sdk-for-java/blob/bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9/ask-sdk-runtime/src/com/amazon/ask/request/mapper/impl/BaseRequestMapper.java/#L79-L81;1
